Date,above_20,above_50,above_200
2023-01-02,,,
2023-01-03,,,
2023-01-04,,,
2023-01-05,,,
2023-01-06,,,
2023-01-09,,,
2023-01-10,,,
2023-01-11,,,
2023-01-12,,,
2023-01-13,,,
2023-01-16,,,
2023-01-17,,,
2023-01-18,,,
2023-01-19,,,
2023-01-20,,,
2023-01-25,,,
2023-01-26,,,
2023-01-27,,,
2023-01-30,,,
2023-01-31,80.10928961748634,,
2023-02-01,77.92349726775957,,
2023-02-02,78.79781420765028,,
2023-02-03,77.37704918032787,,
2023-02-06,73.33333333333333,,
2023-02-07,67.8688524590164,,
2023-02-08,72.56830601092896,,
2023-02-09,68.1967213114754,,
2023-02-10,59.89071038251366,,
2023-02-13,52.89617486338798,,
2023-02-14,55.95628415300546,,
2023-02-15,35.84699453551913,,
2023-02-16,44.69945355191257,,
2023-02-17,45.3551912568306,,
2023-02-20,46.557377049180324,,
2023-02-21,52.6775956284153,,
2023-02-22,38.907103825136616,,
2023-02-23,43.9344262295082,,
2023-02-24,35.30054644808743,,
2023-02-27,28.852459016393446,,
2023-02-28,33.442622950819676,,
2023-03-02,38.79781420765027,,
2023-03-03,40.32786885245901,,
2023-03-06,44.04371584699454,,
2023-03-07,47.10382513661202,,
2023-03-08,40.21857923497268,,
2023-03-09,39.89071038251366,,
2023-03-10,27.86885245901639,,
2023-03-13,23.387978142076502,,
2023-03-14,12.568306010928962,,
2023-03-15,17.923497267759565,27.322404371584703,
2023-03-16,15.628415300546447,25.136612021857925,
2023-03-17,19.12568306010929,27.431693989071036,
2023-03-20,19.89071038251366,26.120218579234972,
2023-03-21,21.311475409836063,26.010928961748636,
2023-03-22,21.311475409836063,26.557377049180324,
2023-03-23,19.78142076502732,24.808743169398905,
2023-03-24,20.655737704918035,25.46448087431694,
2023-03-27,21.639344262295083,25.245901639344265,
2023-03-28,30.491803278688522,29.2896174863388,
2023-03-29,38.142076502732245,32.021857923497265,
2023-03-30,50.38251366120219,35.19125683060109,
2023-03-31,52.568306010928964,34.53551912568306,
2023-04-03,58.36065573770492,37.37704918032787,
2023-04-04,70.16393442622952,40.76502732240437,
2023-04-05,72.45901639344262,40.76502732240437,
2023-04-06,62.295081967213115,37.049180327868854,
2023-04-07,64.26229508196721,38.907103825136616,
2023-04-10,50.81967213114754,36.17486338797814,
2023-04-11,61.31147540983607,40.87431693989071,
2023-04-12,69.2896174863388,45.79234972677595,
2023-04-13,73.55191256830601,49.50819672131148,
2023-04-14,79.01639344262294,54.97267759562842,
2023-04-17,79.23497267759562,56.393442622950815,
2023-04-18,76.6120218579235,54.09836065573771,
2023-04-19,80.65573770491802,59.01639344262295,
2023-04-20,70.7103825136612,56.17486338797815,
2023-04-21,57.096069868995635,49.61748633879781,
2023-04-24,42.685589519650655,42.841530054644814,
2023-04-25,35.917030567685586,38.142076502732245,
2023-04-26,31.4410480349345,37.814207650273225,
2023-04-27,31.590413943355124,37.814207650273225,
2023-04-28,31.699346405228756,37.923497267759565,
2023-05-02,38.88888888888889,44.59016393442623,
2023-05-03,37.58169934640523,44.37158469945356,
2023-05-04,39.54248366013072,46.775956284153004,
2023-05-08,49.23747276688453,52.02185792349727,
2023-05-09,48.15217391304348,51.693989071038246,
2023-05-10,44.565217391304344,51.80327868852459,
2023-05-11,49.673913043478265,53.98907103825137,
2023-05-12,38.58695652173913,49.18032786885246,
2023-05-15,37.28260869565217,46.666666666666664,
2023-05-16,35.869565217391305,45.79234972677595,
2023-05-17,41.630434782608695,48.306010928961754,
2023-05-18,48.04347826086956,51.256830601092894,
2023-05-19,55.760869565217384,56.17486338797815,
2023-05-22,63.80434782608696,60.54644808743169,
2023-05-23,64.23913043478261,61.420765027322396,
2023-05-24,64.13043478260869,61.20218579234973,
2023-05-25,55.108695652173914,56.393442622950815,
2023-05-26,44.891304347826086,50.7103825136612,
2023-05-30,46.08695652173913,52.6775956284153,
2023-05-31,42.391304347826086,48.52459016393443,
2023-06-01,42.173913043478265,48.96174863387978,
2023-06-02,49.891304347826086,53.333333333333336,
2023-06-05,60.21739130434782,56.939890710382514,
2023-06-07,60.86956521739131,58.46994535519126,
2023-06-08,57.49999999999999,56.98689956331878,
2023-06-09,59.89130434782609,57.751091703056765,
2023-06-12,56.30434782608695,54.91266375545851,
2023-06-13,54.130434782608695,55.786026200873366,
2023-06-14,44.45652173913043,48.25708061002179,
2023-06-15,36.95652173913043,44.44444444444444,
2023-06-16,44.45652173913043,50.43572984749455,
2023-06-19,47.17391304347826,52.069716775599126,
2023-06-20,47.06521739130435,50.98039215686274,
2023-06-21,40.32608695652174,46.73202614379085,
2023-06-22,40.76086956521739,47.5,
2023-06-23,31.630434782608695,40.76086956521739,
2023-06-26,33.69565217391305,42.82608695652174,
2023-06-27,34.85342019543974,43.369565217391305,
2023-06-28,35.46637744034707,43.15217391304348,
2023-06-29,26.35574837310195,34.56521739130435,
2023-06-30,31.23644251626898,39.45652173913044,
2023-07-03,36.22559652928417,43.369565217391305,
2023-07-04,34.490238611713664,41.08695652173913,
2023-07-05,32.10412147505423,37.608695652173914,
2023-07-06,24.295010845986983,31.41304347826087,
2023-07-07,21.36659436008677,27.608695652173914,
2023-07-10,21.800433839479393,27.608695652173914,
2023-07-11,26.35574837310195,30.978260869565215,
2023-07-12,30.47722342733189,31.41304347826087,
2023-07-13,33.33333333333333,31.956521739130434,
2023-07-14,34.523809523809526,34.78260869565217,
2023-07-17,35.4978354978355,34.130434782608695,
2023-07-18,27.27272727272727,27.608695652173914,
2023-07-19,27.380952380952383,26.195652173913043,
